No,Family,Name_S,Name_C,Endemic,西元年,Month,Date,Region,X坐標,Y坐標,數量
383,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,300737,2767723,10
384,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,11,23,新店溪,300737,2767723,7
385,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,300737,2767723,1
386,粉蝶科,Appias lyncida eleonora,臺灣粉蝶,,2014,11,23,新店溪,300737,2767723,1
387,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,300828,2767807,16
388,粉蝶科,Catopsilia pyranthe,水青粉蝶,,2014,11,23,新店溪,300964,2767979,1
389,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,11,23,新店溪,300964,2767979,1
390,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,301059,2768078,1
391,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,301059,2768078,5
392,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,11,23,新店溪,301243,2768281,2
393,蛺蝶科,Danaus chrysippus,樺斑蝶,,2014,11,23,新店溪,301245,2768284,1
394,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,11,23,新店溪,301245,2768284,2
395,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,301245,2768284,3
396,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,11,23,新店溪,301556,2768385,2
397,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,301862,2768354,2
96,蛺蝶科,Euploea eunice hobsoni,圓翅紫斑蝶,特有亞種,2014,5,26,淡水河,300427,2770726,1
399,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,302002,2768320,4
400,蛺蝶科,Neptis hylas lulculenta,琉球三線蝶,,2014,11,23,新店溪,302324,2768214,1
401,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,11,23,新店溪,302324,2768214,1
402,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,302324,2768214,3
403,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,302480,2768176,6
404,粉蝶科,Catopsilia pyranthe,水青粉蝶,,2014,11,23,新店溪,302480,2768176,1
405,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,302881,2767817,5
406,粉蝶科,Catopsilia pyranthe,水青粉蝶,,2014,11,23,新店溪,302881,2767817,1
407,蛺蝶科,Junonia almana,孔雀蛺蝶,,2014,11,23,新店溪,302881,2767817,1
408,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,302980,2767579,18
409,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,302980,2767579,2
410,蛺蝶科,Junonia orithya,孔雀青蛺蝶,,2014,11,23,新店溪,303026,2767517,2
411,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,303026,2767517,8
319,蛺蝶科,Euploea eunice hobsoni,圓翅紫斑蝶,特有亞種,2014,8,25,新店溪,302030,2768307,1
413,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,303573,2767023,1
414,粉蝶科,Eurema blanda arsakia,臺灣黃蝶,,2014,11,23,新店溪,303857,2766633,1
415,蛺蝶科,Junonia orithya,孔雀青蛺蝶,,2014,11,23,新店溪,303935,2766493,1
320,蛺蝶科,Euploea eunice hobsoni,圓翅紫斑蝶,特有亞種,2014,9,28,淡水河,301280,2772615,2
417,蛺蝶科,Junonia almana,孔雀蛺蝶,,2014,11,23,新店溪,303935,2766493,1
84,蛺蝶科,Euploea mulciber barsine,端紫斑蝶,特有亞種,2014,5,26,新店溪,299431,2768028,3
419,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,304021,2765693,4
420,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,304021,2765693,3
421,蛺蝶科,Danaus chrysippus,樺斑蝶,,2014,11,23,新店溪,304044,2765489,2
422,灰蝶科,Zizeeria maha okinawana,沖繩小灰蝶,,2014,11,23,新店溪,304044,2765489,3
423,粉蝶科,Pieris canidia,臺灣紋白蝶,,2014,11,23,新店溪,304044,2765489,3
424,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,淡水河,301126,2774999,1
425,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,淡水河,301062,2771799,1
426,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,299100,2769447,1
427,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,299929,2767190,1
428,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,300308,2767325,1
429,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,300438,2767472,1
430,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,300733,2767717,1
87,蛺蝶科,Athyma jina sauteri,寬帶三線蝶,特有亞種,2014,7,30,關渡水岸公園,296585,2779438,1
432,灰蝶科,Lampides boeticus,波紋小灰蝶,,2014,12,24,新店溪,301522,2768379,1
433,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,301721,2768399,1
434,粉蝶科,Pieris rapae crucivora,紋白蝶,,2014,12,24,新店溪,302214,2768244,1
